100046717583604<=>Shinta Turzi
100046101712922<=>Dilaa Cil
100048772990561<=>Raa Syng
100045353672111<=>Mimin Mimin
100047130861126<=>Zua Zua
100042004343584<=>Veni Veronica
100041919252642<=>Neng Iin
100049346863482<=>Frii Nii
100041183887669<=>Fit Ayund
100047603164485<=>Dita Sari
100047299597838<=>Alan Bruckner
100042597556112<=>Neng Yenong
100047975137528<=>Mey Lunda
100047884875538<=>ZelLy Agth
100040309119687<=>Hadmsri Cantikajr
100040948635600<=>Logan Auditore
100043991434949<=>Diva Dava
100044553609945<=>Siti Rohani
100045290010552<=>Alinawaz Aliases
100040803793822<=>Ika Kartika
100043568029853<=>Rii Oit
100046369486923<=>Ceboll Kociek
100042589355948<=>Jaitun Mulfiyanah
100041073795613<=>Bang Marko
100045059760165<=>Atik Yulianti
100048925360571<=>Tth Atvoll
100048202723614<=>Sadgrils Fagrils
100049138531211<=>Siti Ngaisah
100044568605480<=>Dona Mahdalena
100048146535480<=>Daeng Caya
100047431055452<=>Winarti Dewi
100040641756469<=>Menolak Sadar
100047597536771<=>Rose Loply
100041027181888<=>Ã€pa Sih
100041367037464<=>Trisna Zubaida
100042462231101<=>Amel Hahah
100045154639810<=>Rianii Rian
100040360051798<=>Butil Kemvot
100046559714601<=>Sayank Dia
100044041480041<=>Nur Nolis
100042573991071<=>Fellicia Aria
100045530993564<=>Agt'saa Putry
100043788740030<=>Widia Wati
100048960840508<=>Bahrul Ulum
100044885010126<=>Anggi Anggraeni
100045304896831<=>Iyang Kancil
100043208782274<=>Dewi Eka
100044974117333<=>MÃ mÃ h BÃ¨rtÃ³
100040956184692<=>Wid Wit
100040529841771<=>Fathimah Azzahra
100047217849338<=>Rini Ckp
100041544383592<=>Mula Dewi
100048296340697<=>Imelda Celsi
100045442865237<=>Sifah Iput
100040520404752<=>Salsa Bela
100044429446617<=>Yanik Agus
100042416920302<=>Dyah Resa
100048106277277<=>Riskapesek Riska
100042888644732<=>Anisa Salwa
100042447250651<=>Bungga Flora
100047800596627<=>Fatimah Siti
100044389980471<=>Reni Bhawel
100044177201737<=>Å¤Å¯Å† BÄƒÃ½Ä›Ä•
100040871654280<=>Slipi Putri
100047271096534<=>Mamahnya Dede
100047594793313<=>Lia Opick
100042221221272<=>Fatat Saeba
100042024409623<=>Cut Mila
100043342387542<=>Melliaa Meliiaa
100040475451394<=>Sirin Rasid
100046642397772<=>Aisyah Azzahra
100048930371172<=>Zull Kirik
