100035085525495<=>Thinie Lah
100032825584726<=>Juita Febiola
100036554171504<=>Sany Culer
100039288758210<=>Neng Sinta
100038384113970<=>Dewi Yani
100034459366347<=>Dara Enjelina
100039740058607<=>Styh Cntik
100038258054082<=>Tita Herlina
100034627807980<=>DedeInull Begoo
100033837472401<=>Akak Tri
100036677091091<=>Bocil Konfik
100037707353959<=>Septok Jr.
100033286358692<=>Afni Afni
100030850070742<=>Nonok Kickaut
100037018313267<=>Mpok Lela
100039563752292<=>Zainabun Serly
100034752674322<=>Ningsi Akry
100036769931121<=>Elaa Efg
100034781106625<=>Riny Apriyany
100037766178082<=>Revi Cinta
100038102722977<=>Monika Septiani
100035954000432<=>Hella Siskawati
100037154799431<=>Dell Fina
100038390460666<=>Umy Khamidah
100034807989896<=>Malayus Yus
100039577451116<=>Silvia Ananda
100035178210971<=>Tri Utami
100032860486616<=>Siti Mulyani
100035671185349<=>Tarsan Hafidz
100032964068569<=>Wain Ros
100035571247165<=>Wsanrda Haong
100033485557772<=>Nokk Cawas
100031673600648<=>Bella Okta
100038735210847<=>Jihan Audy
100034182221113<=>Mega Kirana
100030303202951<=>Anyzza Zaa
100037562554388<=>Mbaa Amel
100037977409910<=>Putri Ayu
100033276560540<=>Gibran Mahesa
100035789238268<=>Nabilah Bilah
100036741189124<=>Dikaa Fiitriani
100030516381427<=>PtrÃ¿ WÅ„DÃ¤
100030109718920<=>Alpiianaa Viiaa
100038267672502<=>Vina Azha
100038203720353<=>Afikah Syg
100030628372197<=>Sari Tia
100032891980349<=>Mikka Wanda
100035726861557<=>Nita Alfiya
100039156911439<=>Bocil Soloyong
100035596241688<=>Aulia Salsa
100031214265776<=>Ade Onces
100032359804770<=>Trio Cempreng
100039063697004<=>Selvia Indah
100036057411162<=>Yayang Ohay
100037140381239<=>Aminah Musawa
100034386592108<=>Azi Zah
100038627051304<=>Imah Sipit
100030824381109<=>Susi Susi
100035233161958<=>Risdy Pramesti
100039239382922<=>Uye Papril
100039650468436<=>Lisa Malae
100037055882001<=>How's Prlly
100036836130583<=>Eva Krisna
100037085270825<=>Putry Iyah
100030286869951<=>Lily Lie
100034667301132<=>Umsih Hayati
100034304671501<=>Dokter Anitaa
100034540144865<=>Anita Bortob
100033921668446<=>Syifha Bkp
100038590072313<=>Rekaa Nrjnahh
100036691624747<=>Sely Agustina
100030865574710<=>Tika Nda
100037127112279<=>WeL'com Baee
100035693313796<=>Inces Kechil
100033489242909<=>Indah Wygunarti
100034565799095<=>Vanne Faula
100038542039144<=>Bagus Ardika
100036099645679<=>Icha Cha
100035691319778<=>Shafira Barus
100037311619702<=>Cinta Kirana
100032817374739<=>Wakul Tradisi
100038716624974<=>Afrisa Maulidia
100036048696787<=>Chca Chca
100033284567425<=>Tia Ciblek
100038957120388<=>Ari Wijayanti
100038502880872<=>Syahkila Rahmadhani
100034633327621<=>Maya May
100034789905506<=>Nawang Suryani
100030338948504<=>Intan Leu
100032108182328<=>Mya Lestari
100038742503376<=>Nggit Azhaari
100032115654321<=>Sep Toll
100037528620363<=>Natasya Tasya
100038209570686<=>Sairah Sairah
100032882323443<=>Intan Qaila
100031790226969<=>Karimah Yourbe
100030876301400<=>Vanesa Indriani
100036416826808<=>Annisa Triutama
100039229603332<=>Abhy Rhin
100034011433710<=>Sintiya Nur
100030573560070<=>Eno Wati
100039204644561<=>Win Daa
100031586401346<=>Nilla Matavani
100037760018370<=>Isma Ima
100033996480239<=>Reny Aulia
100031451077280<=>Putri Rmdhni
